Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C]
Current time: 2020-08-17_15-22-39-315009
2020-08-17 15-48-10-775437 146 1535281 193 32.84 1178 27.13
2020-08-17 15-48-46-382399 147 1570917 280 48.67 1196 27.13
2020-08-17 15-48-55-893903 148 1580441 472 125.87 1208 27.13
2020-08-17 15-49-01-146100 149 1585700 174 29.79 1214 26.91
2020-08-17 15-49-03-175060 150 1587730 344 64.67 1220 27.13
2020-08-17 15-49-12-525850 151 1597089 216 36.85 1225 27.13
2020-08-17 15-49-33-675820 152 1618257 284 49.41 1235 27.13
2020-08-17 15-49-40-625815 153 1625208 487 132.65 1246 26.91
2020-08-17 15-49-41-646710 154 1626234 207 35.26 1252 27.34
2020-08-17 15-49-45-556402 155 1630148 143 25.74 1257 26.91
2020-08-17 15-49-49-589617 156 1634185 103 22.23 1264 27.13
2020-08-17 15-50-06-965084 157 1651571 167 28.76 1272 26.70
2020-08-17 15-50-38-715359 158 1683349 195 33.17 1285 26.70
2020-08-17 15-50-42-123457 159 1686759 243 41.74 1290 27.13
2020-08-17 15-50-50-106743 160 1694750 364 71.71 1301 27.24
2020-08-17 15-50-50-670251 161 1695313 391 82.35 1306 27.13
2020-08-17 15-50-52-660332 162 1697305 527 155.96 1311 26.70
2020-08-17 15-50-56-664646 163 1701314 335 61.77 1317 27.24
2020-08-17 15-50-56-750463 164 1701405 67 18.51 1322 27.13
2020-08-17 15-50-59-181866 165 1703838 399 87.30 1328 27.24
2020-08-17 15-50-59-468391 166 1704119 127 24.18 1333 27.13
2020-08-17 15-51-07-310210 167 1711973 359 69.86 1341 26.91
2020-08-17 15-51-09-448261 168 1714108 243 41.74 1346 26.91
2020-08-17 15-51-17-295180 169 1721967 211 35.96 1353 26.91
2020-08-17 15-51-18-429021 170 1723102 312 55.68 1358 27.34
2020-08-17 15-51-27-485983 171 1732163 204 34.73 1366 26.91
2020-08-17 15-51-29-387817 172 1734066 167 28.76 1373 26.91
2020-08-17 15-51-37-832698 173 1742522 376 76.43 1380 27.13
2020-08-17 15-51-39-564290 174 1744253 204 34.73 1386 27.13
2020-08-17 15-51-43-510789 175 1748204 206 35.07 1392 26.91
2020-08-17 15-51-50-418297 176 1755114 480 130.21 1398 27.13
2020-08-17 15-51-52-995615 177 1757699 231 39.55 1405 27.13
2020-08-17 15-51-59-688441 178 1764391 152 26.78 1411 26.70
2020-08-17 15-52-18-738216 179 1783463 255 43.96 1421 26.70
2020-08-17 15-52-20-014385 180 1784734 350 66.46 1426 27.34
2020-08-17 15-52-36-533989 181 1801270 185 31.51 1441 27.34
2020-08-17 15-52-46-865826 182 1811609 236 40.44 1450 27.13
2020-08-17 15-52-53-683298 183 1818433 295 51.75 1457 27.13
2020-08-17 15-53-09-887969 184 1834657 224 38.29 1466 27.13
2020-08-17 15-53-19-211213 185 1843988 284 49.41 1474 27.13
2020-08-17 15-53-38-732072 186 1863521 419 97.20 1483 27.34
2020-08-17 15-53-45-000112 187 1869800 103 22.23 1489 26.91
2020-08-17 15-53-49-139155 188 1873943 206 35.07 1494 27.13
2020-08-17 15-53-58-777209 189 1883585 355 68.30 1501 26.91
2020-08-17 15-54-01-917823 190 1886728 103 22.23 1511 27.13
2020-08-17 15-54-03-242196 191 1888053 224 38.29 1518 26.91
2020-08-17 15-54-15-279920 192 1900103 455 117.03 1527 27.13
2020-08-17 15-54-17-076093 193 1901903 312 55.68 1533 26.91
2020-08-17 15-54-42-976663 194 1927821 216 36.85 1547 26.91
2020-08-17 15-54-44-227141 195 1929073 216 36.85 1552 27.13
2020-08-17 15-54-46-330850 196 1931180 195 33.17 1558 27.13
2020-08-17 15-54-57-101377 197 1941963 243 41.74 1570 26.91
